title,ingr_full,quant,units,ingr,category,subcategory
french-toast-ii,12 slices white bread,12.0,slices,white bread,bread,
french-toast-ii,1 tablespoon ground cinnamon,1.0,tablespoons,cinnamon,flavor,spice
applesauce-french-toast,2 eggs,2.0,,eggs,eggs,
applesauce-french-toast,3/4 cup milk,0.75,cups,milk,milkcream,
applesauce-french-toast,1 teaspoon ground cinnamon,1.0,teaspoons,cinnamon,flavor,spice
applesauce-french-toast,2 tablespoons white sugar,2.0,tablespoons,sugar,sugar,
applesauce-french-toast,1/4 cup applesauce,0.25,cups,applesauce,spread,
applesauce-french-toast,6 slices bread,6.0,slices,bread,bread,
italian-french-toast,6 eggs,6.0,,eggs,eggs,
italian-french-toast,1/2 cup milk,0.5,cups,milk,milkcream,
italian-french-toast,2 teaspoons dried parsley,2.0,teaspoons,parsley,flavor,herb
italian-french-toast,12 slices white sandwich bread,12.0,slices,white bread,bread,
italian-french-toast,6 ounces mozzarella cheese,6.0,ounces,mozzarella cheese,dairy,cheese
italian-french-toast,1 cup vegetable oil for frying,1.0,cups,oil,fat,
italian-french-toast,"1 clove garlic, crushed",1.0,clove,garlic,flavor,bulb
fluffy-french-toast,1/4 cup all-purpose flour,0.25,cups,flour,other,
fluffy-french-toast,1 cup milk,1.0,cups,milk,milkcream,
fluffy-french-toast,1 pinch salt,1.0,pinches,salt,flavor,spice
fluffy-french-toast,3 eggs,3.0,,eggs,eggs,
fluffy-french-toast,1/2 teaspoon ground cinnamon,0.5,teaspoons,cinnamon,flavor,spice
fluffy-french-toast,1 teaspoon vanilla extract,1.0,teaspoons,vanilla,flavor,spice
fluffy-french-toast,1 tablespoon white sugar,1.0,tablespoons,sugar,sugar,
fluffy-french-toast,12 thick slices bread,12.0,slices,bread,bread,
overnight-apple-cinnamon-french-toast,"3/4 cup butter, melted",0.75,cups,butter,fat,
overnight-apple-cinnamon-french-toast,1 cup brown sugar,1.0,cups,brown sugar,sugar,
overnight-apple-cinnamon-french-toast,1 teaspoon ground cinnamon,1.0,teaspoons,cinnamon,flavor,spice
overnight-apple-cinnamon-french-toast,2 (21 ounce) cans apple pie filling,42.0,ounces,fruit filling,spread,
overnight-apple-cinnamon-french-toast,20 slices white bread,20.0,slices,white bread,bread,
overnight-apple-cinnamon-french-toast,6 eggs,6.0,,eggs,eggs,
overnight-apple-cinnamon-french-toast,1 1/2 cups milk,0.5,cups,milk,milkcream,
overnight-apple-cinnamon-french-toast,1 teaspoon vanilla extract,1.0,teaspoons,vanilla,flavor,spice
overnight-apple-cinnamon-french-toast,1/2 cup maple syrup,0.5,cups,syrup,syrup,
crispy-french-toast,8 cups vegetable oil for deep-frying,8.0,cups,oil,fat,
crispy-french-toast,6 thick slices white bread,6.0,slices,white bread,bread,
crispy-french-toast,2 eggs,2.0,,eggs,eggs,
crispy-french-toast,1 cup milk,1.0,cups,milk,milkcream,
crispy-french-toast,1 tablespoon white sugar,1.0,tablespoons,sugar,sugar,
crispy-french-toast,1 teaspoon ground cinnamon,1.0,teaspoons,cinnamon,flavor,spice
crispy-french-toast,1 teaspoon vanilla extract,1.0,teaspoons,vanilla,flavor,spice
crispy-french-toast,2 cups cornflakes cereal,2.0,cups,cereal,cereal,
baked-french-toast,"1 (1 pound) loaf french bread, sliced",1.0,pound,french bread,bread,
baked-french-toast,6 eggs,6.0,,eggs,eggs,
baked-french-toast,1 1/2 cups skim milk,0.5,cups,skim milk,milkcream,
baked-french-toast,1/3 cup white sugar,0.33,cups,sugar,sugar,
baked-french-toast,1 tablespoon vanilla extract,1.0,tablespoons,vanilla,flavor,spice
baked-french-toast,"6 apple - peeled, cored and sliced",6.0,,apples,fruit,
baked-french-toast,1 1/2 teaspoons ground cinnamon,0.5,teaspoons,cinnamon,flavor,spice
baked-french-toast,1/2 teaspoon ground nutmeg,0.5,teaspoons,nutmeg,flavor,spice
baked-french-toast,2 tablespoons white sugar,2.0,tablespoons,sugar,sugar,
baked-french-toast,1/2 cup white sugar,0.5,cups,sugar,sugar,
