title,ingr_full,quant,units,cut,ingr,category,subcategory
easy-pina-colada-french-toast,"1 tablespoon butter, or as needed",1,tablespoons,,butter,fat,
easy-pina-colada-french-toast,8 eggs,8,,,eggs,eggs,
easy-pina-colada-french-toast,12 (1/2 inch thick) slices french bread,12,slices,"0.5"" slices",french bread,bread,
easy-pina-colada-french-toast,2/3 cup milk,0.67,cups,,milk,milkcream,
easy-pina-colada-french-toast,1/2 cup bottled pina colada drink mix,0.5,cups,,pina colada drink mix,flavor,liquid
eggnog-cinnamon-french-toast,1 teaspoon cinnamon,1,teaspoons,,cinnamon,flavor,spice
eggnog-cinnamon-french-toast,2 cups eggnog,2,cups,,eggnog,milkcream,
eggnog-cinnamon-french-toast,"2 eggs, vegetable oil cooking spray or butter or margarine",2,,,eggs,eggs,
eggnog-cinnamon-french-toast,"2 eggs, vegetable oil cooking spray or butter or margarine",,,,oil,fat,
eggnog-cinnamon-french-toast,12 slices firm white bread,12,slices,,white bread,bread,
fabulous-frosted-french-toast,1/4 cup butter,0.25,cups,,butter,fat,
fabulous-frosted-french-toast,2 teaspoons ground cinnamon,2,teaspoons,,cinnamon,flavor,spice
fabulous-frosted-french-toast,"1 (8 ounce) package fat-free cream cheese, softened",8,ounces,,cream cheese,dairy,cheese
fabulous-frosted-french-toast,6 eggs,6,,,eggs,eggs,
fabulous-frosted-french-toast,"1 (1 pound) loaf french bread, cut into 3/4 inch slices",1,pound,"0.75"" slices",french bread,bread,
fabulous-frosted-french-toast,1 1/2 cups skim milk,0.5,cups,,skim milk,milkcream,
fabulous-frosted-french-toast,2 tablespoons fat-free sour cream,2,tablespoons,,sour cream,dairy,sour cream
fabulous-frosted-french-toast,2 tablespoons white sugar,2,tablespoons,,sugar,sugar,
fabulous-frosted-french-toast,2 tablespoons white sugar,2,tablespoons,,sugar,sugar,
fabulous-frosted-french-toast,"2 tablespoons frozen whipped topping, thawed",2,tablespoons,,whipped cream,spread,
fantastic-french-toast,4 slices bread,4,slices,,bread,bread,
fantastic-french-toast,1 tablespoon butter or margarine,1,tablespoons,,butter,fat,
fantastic-french-toast,4 eggs,4,,,eggs,eggs,
fantastic-french-toast,3/4 cup maple-flavored syrup,0.75,cups,,maple flavored syrup,syrup,
fantastic-french-toast,1/4 cup milk,0.25,cups,,milk,milkcream,
fantastic-french-toast,1/2 cup jif\xae creamy peanut butter,0.5,cups,,peanut butter,spread,
fantastic-french-toast,1/4 cup chopped peanuts,0.25,cups,,peanuts,nut,
fantastic-french-toast,"1 teaspoon vanilla, dash salt",1,teaspoons,,vanilla,flavor,spice
fluffy-french-toast,12 thick slices bread,12,slices,,bread,bread,
fluffy-french-toast,1/2 teaspoon ground cinnamon,0.5,teaspoons,,cinnamon,flavor,spice
fluffy-french-toast,3 eggs,3,,,eggs,eggs,
fluffy-french-toast,1/4 cup all-purpose flour,0.25,cups,,flour,other,
fluffy-french-toast,1 cup milk,1,cups,,milk,milkcream,
fluffy-french-toast,1 pinch salt,1,pinches,,salt,flavor,spice
fluffy-french-toast,1 tablespoon white sugar,1,tablespoons,,sugar,sugar,
fluffy-french-toast,1 teaspoon vanilla extract,1,teaspoons,,vanilla,flavor,spice
fluffy-french-toast,lightly oiled,,,,cooking spray,fat,
french-toast,1 teaspoon cinnamon,1,teaspoons,,cinnamon,flavor,spice
french-toast,1  serving splash vegetable spray,,,,cooking spray,fat,
french-toast,1/2 cup egg beaters,0.5,cups,,egg whites,eggs,
french-toast,2 tablespoons skim milk,2,tablespoons,,skim milk,milkcream,
french-toast,1/2 teaspoon vanilla extract,0.5,teaspoons,,vanilla,flavor,spice
french-toast,3 slices whole-wheat bread,3,slices,,whole bread,bread,
french-toast-corners,1 tablespoon butter,1,tablespoons,,butter,fat,
french-toast-corners,1/2 teaspoon ground cinnamon,0.5,teaspoons,,cinnamon,flavor,spice
french-toast-corners,2 eggs,2,,,eggs,eggs,
french-toast-corners,2/3 cup milk,0.67,cups,,milk,milkcream,
french-toast-corners,1 teaspoon vanilla extract,1,teaspoons,,vanilla,flavor,spice
french-toast-corners,6 slices white bread,6,slices,,white bread,bread,
french-toast-i,6 thick slices bread,6,slices,,bread,bread,
french-toast-i,1/4 teaspoon ground cinnamon (optional),0.25,teaspoons,,cinnamon,flavor,spice
french-toast-i,2 eggs,2,,,eggs,eggs,
french-toast-i,2/3 cup milk,0.67,cups,,milk,milkcream,
french-toast-i,1/4 teaspoon ground nutmeg (optional),0.25,teaspoons,,nutmeg,flavor,spice
french-toast-i,"1 teaspoon vanilla extract (optional), salt to taste",1,teaspoons,,vanilla,flavor,spice
french-toast-i,lightly buttered,,,,butter,fat,
french-toast-ii,3 tablespoons brown sugar,3,tablespoons,,brown sugar,sugar,
french-toast-ii,1 tablespoon ground cinnamon,1,tablespoons,,cinnamon,flavor,spice
french-toast-ii,4 eggs,4,,,eggs,eggs,
french-toast-ii,3/4 cup milk,0.75,cups,,milk,milkcream,
french-toast-ii,1 teaspoon ground nutmeg,1,teaspoons,,nutmeg,flavor,spice
french-toast-ii,12 slices white bread,12,slices,,white bread,bread,
french-toast-ii,lightly oiled,,,,cooking spray,fat,
french-toast-stars,3 tablespoons butter,3,tablespoons,,butter,fat,
